abs_td_error,agree,bfs_action,bfs_distance,difficulty,goal,greedy_action,maze_id,next,next_bfs_distance,path_index,pos,q_best_other,q_bfs,q_down,q_left,q_margin,q_right,q_up,shortest_len,source,start,td_error
0.2586990737915045,True,RIGHT,6,hard,"(7, 7)",RIGHT,random_hard_16,"(4, 5)",5,12,"(4, 4)",42.791080474853516,46.23202133178711,39.87422561645508,42.66876220703125,3.4409408569335938,46.23202133178711,42.791080474853516,18,random,"(5, 1)",0.2586990737915045
1.7556721878051746,True,DOWN,5,hard,"(7, 7)",DOWN,random_hard_16,"(5, 5)",4,13,"(4, 5)",46.806312561035156,46.97042465209961,46.97042465209961,44.63679504394531,0.16411209106445312,46.806312561035156,43.82174301147461,18,random,"(5, 1)",-1.7556721878051746
1.7994507598876908,True,RIGHT,4,hard,"(7, 7)",RIGHT,random_hard_16,"(5, 6)",3,14,"(5, 5)",43.17212677001953,45.68156814575195,36.82468032836914,35.60176086425781,2.509441375732422,45.68156814575195,43.17212677001953,18,random,"(5, 1)",-1.7994507598876908
0.9811919403076175,False,RIGHT,3,hard,"(7, 7)",LEFT,random_hard_16,"(5, 7)",2,15,"(5, 6)",44.335472106933594,43.60306167602539,34.36001205444336,44.335472106933594,-0.7324104309082031,43.60306167602539,43.452056884765625,18,random,"(5, 1)",0.9811919403076175
3.8240656661987273,False,DOWN,2,hard,"(7, 7)",LEFT,random_hard_16,"(6, 7)",1,16,"(5, 7)",45.044700622558594,37.845855712890625,37.845855712890625,45.044700622558594,-7.198844909667969,35.258358001708984,42.31665802001953,18,random,"(5, 1)",-3.8240656661987273
7.65178466796875,False,DOWN,1,hard,"(7, 7)",UP,random_hard_16,"(7, 7)",0,17,"(6, 7)",34.375545501708984,17.64178466796875,17.64178466796875,19.36717414855957,-16.733760833740234,26.432600021362305,34.375545501708984,18,random,"(5, 1)",-7.65178466796875
3.3032943725585966,True,UP,18,hard,"(4, 7)",UP,random_hard_17,"(2, 0)",17,0,"(3, 0)",63.58634948730469,71.78683471679688,63.28805160522461,56.240760803222656,8.200485229492188,63.58634948730469,71.78683471679688,18,random,"(3, 0)",-3.3032943725585966
0.45454086303710994,True,UP,17,hard,"(4, 7)",UP,random_hard_17,"(1, 0)",16,1,"(2, 0)",68.44729614257812,69.18539428710938,68.44729614257812,55.933685302734375,0.73809814453125,59.91804122924805,69.18539428710938,18,random,"(3, 0)",0.45454086303710994
0.3185353088378946,False,RIGHT,16,hard,"(4, 7)",DOWN,random_hard_17,"(1, 1)",15,2,"(1, 0)",70.35346984863281,69.49821472167969,70.35346984863281,56.68701171875,-0.855255126953125,69.49821472167969,69.27283477783203,18,random,"(3, 0)",-0.3185353088378946
1.3078526306152298,True,RIGHT,15,hard,"(4, 7)",RIGHT,random_hard_17,"(1, 2)",14,3,"(1, 1)",63.52341079711914,69.88856506347656,61.11488723754883,63.52341079711914,6.365154266357422,69.88856506347656,58.9669303894043,18,random,"(3, 0)",1.3078526306152298
